ID,Jogador,Nação,Pos,Equipe,Idade,Nascimento,Jogos,Inícios,Minutos,90s,Gols,Assist,G+A,Gnormal,PC,PB,CartaoA,CartaoV,xG,xGnormal,xG+A,xGnormal+xG+A,PrgCarregadas,PrgPasses,PrgPassesPrgRecebidos,Gols90,Assis.90,G+A90,G-PB90,G+A-PB90,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,PassesTotaisConcluidos,PassesTotaisTentados,%ConclusãoDePasses,DistTotalPasses,DistTotalProgressivos,PassesConcluidosCurto,PassesTentadosCurto,%PassesConclusaoCurto,PassesConcluidosMedio,PassesTentadosMedio,%PassesConclusaoMedio,PassesConcluidosLongo,PassesTentadosLongo,%PassesConclusaoLongo,TotalChutes,ChutesAGol,%ChutesNoGol,TotalChutes/90,TotalAcertos/90,Gols/Chutes,Gols/ChuteaGol,DistanciaChute,CobrancaFalta,BotesDefensivos,AssumiuPosse,Confrontos_1ter,Confrontos_2ter,Confrontos_3ter,Desarme,%DesarmesCertos,DesarmeErrado,ChutesBloqueados,PassesBloqueados,Cortes,Interceptacoes,Def,Erros
2,Luiz Adriano,BRA,Atacante,Internacional,35.0,1987.0,29.0,17.0,1330.0,14.8,3.0,1.0,4.0,3.0,0.0,0.0,1.0,1.0,2.6,2.6,1.3,3.9,3.0,23.0,49.0,0.2,0.07,0.27,0.2,0.27,0.18,0.09,0.27,0.18,0.27,208.0,253.0,82.2,2628.0,429.0,128.0,147.0,87.1,58.0,66.0,87.9,6.0,8.0,75.0,24.0,11.0,45.8,1.62,0.74,0.13,0.27,14.4,0.0,12.0,7.0,0.0,6.0,6.0,2.0,28.6,5.0,2.0,7.0,9.0,21.0,18.0,0.0
5,Adson,BRA,Atacante,Corinthians,22.0,2000.0,15.0,9.0,857.0,9.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.0,1.4,49.0,53.0,68.0,0.0,0.11,0.11,0.0,0.11,0.04,0.11,0.15,0.04,0.15,315.0,389.0,81.0,4735.0,1211.0,185.0,209.0,88.5,94.0,123.0,76.4,21.0,32.0,65.6,10.0,3.0,30.0,1.05,0.32,0.0,0.0,24.1,0.0,33.0,26.0,22.0,8.0,3.0,12.0,57.1,9.0,2.0,14.0,8.0,41.0,1.0,0.0
6,Adyson,BRA,Atacante,América (MG),17.0,2005.0,8.0,1.0,245.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.4,0.6,17.0,17.0,42.0,0.0,0.0,0.0,0.0,0.0,0.07,0.14,0.21,0.07,0.21,97.0,140.0,69.3,1609.0,650.0,48.0,56.0,85.7,37.0,51.0,72.5,8.0,20.0,40.0,4.0,1.0,25.0,1.47,0.37,0.0,0.0,17.9,0.0,8.0,5.0,3.0,3.0,2.0,3.0,50.0,3.0,0.0,1.0,5.0,13.0,0.0,0.0
8,Carlos Alberto,BRA,Atacante,Botafogo (RJ),20.0,2002.0,15.0,1.0,296.0,3.3,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.1,1.1,0.2,1.4,10.0,9.0,29.0,0.61,0.0,0.61,0.61,0.61,0.35,0.07,0.42,0.35,0.42,63.0,75.0,84.0,947.0,216.0,33.0,36.0,91.7,24.0,29.0,82.8,4.0,5.0,80.0,7.0,3.0,42.9,2.13,0.91,0.29,0.67,12.5,0.0,3.0,0.0,1.0,1.0,1.0,2.0,40.0,3.0,2.0,3.0,1.0,4.0,4.0,0.0
9,Yuri Alberto,BRA,Atacante,Corinthians,21.0,2001.0,34.0,32.0,2722.0,30.2,8.0,3.0,11.0,8.0,0.0,0.0,6.0,0.0,10.0,10.0,2.7,12.7,41.0,28.0,204.0,0.26,0.1,0.36,0.26,0.36,0.33,0.09,0.42,0.33,0.42,417.0,581.0,71.8,5451.0,801.0,260.0,327.0,79.5,119.0,158.0,75.3,12.0,21.0,57.1,86.0,28.0,32.6,2.84,0.93,0.09,0.29,14.6,0.0,23.0,14.0,6.0,8.0,9.0,9.0,40.9,13.0,2.0,21.0,3.0,26.0,17.0,0.0
11,Alexandre Alemão,BRA,Atacante,Internacional,24.0,1998.0,9.0,3.0,340.0,3.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.2,1.2,0.1,1.4,7.0,7.0,37.0,0.26,0.0,0.26,0.26,0.26,0.33,0.04,0.36,0.33,0.36,56.0,73.0,76.7,770.0,173.0,34.0,43.0,79.1,13.0,18.0,72.2,5.0,5.0,100.0,14.0,3.0,21.4,3.71,0.79,0.07,0.33,14.6,0.0,5.0,5.0,1.0,3.0,1.0,1.0,20.0,4.0,1.0,4.0,1.0,6.0,2.0,0.0
12,Alerrandro,BRA,Atacante,Bragantino,23.0,2000.0,14.0,2.0,405.0,4.5,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,3.1,3.1,0.2,3.2,3.0,9.0,20.0,0.22,0.0,0.22,0.22,0.22,0.68,0.03,0.71,0.68,0.71,55.0,70.0,78.6,779.0,133.0,32.0,39.0,82.1,16.0,17.0,94.1,4.0,6.0,66.7,13.0,3.0,23.1,2.89,0.67,0.08,0.33,14.3,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,6.0,0.0
13,Alesson,BRA,Atacante,Goiás,23.0,1999.0,23.0,3.0,655.0,7.3,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,1.1,1.1,0.5,1.7,23.0,9.0,68.0,0.27,0.14,0.41,0.27,0.41,0.16,0.07,0.23,0.16,0.23,130.0,214.0,60.7,1963.0,447.0,81.0,110.0,73.6,41.0,64.0,64.1,8.0,14.0,57.1,16.0,3.0,18.8,2.2,0.41,0.13,0.67,16.3,0.0,17.0,10.0,12.0,3.0,2.0,12.0,44.4,15.0,1.0,4.0,1.0,18.0,7.0,0.0
20,Alisson,BRA,Atacante,São Paulo,29.0,1993.0,35.0,26.0,2153.0,23.9,0.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,1.1,1.1,2.7,3.8,40.0,144.0,105.0,0.0,0.21,0.21,0.0,0.21,0.05,0.11,0.16,0.05,0.16,1115.0,1319.0,84.5,18459.0,4363.0,546.0,603.0,90.5,454.0,509.0,89.2,86.0,135.0,63.7,24.0,4.0,16.7,1.0,0.17,0.0,0.0,21.6,1.0,47.0,32.0,15.0,26.0,6.0,25.0,38.5,40.0,11.0,20.0,27.0,74.0,34.0,1.0
22,Allano,BRA,Atacante,Goiás,27.0,1995.0,19.0,15.0,1237.0,13.7,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,2.1,2.1,0.8,2.9,39.0,55.0,90.0,0.07,0.0,0.07,0.07,0.07,0.15,0.06,0.21,0.15,0.21,307.0,421.0,72.9,4740.0,1557.0,156.0,183.0,85.2,119.0,152.0,78.3,20.0,39.0,51.3,30.0,12.0,40.0,2.18,0.87,0.03,0.08,18.9,0.0,38.0,20.0,25.0,10.0,3.0,26.0,53.1,23.0,1.0,16.0,12.0,50.0,14.0,0.0
23,Henrique Almeida,BRA,Atacante,América (MG),31.0,1991.0,4.0,2.0,156.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.7,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.22,0.2,0.42,0.22,0.42,24.0,29.0,82.8,305.0,49.0,15.0,17.0,88.2,4.0,5.0,80.0,2.0,2.0,100.0,6.0,2.0,33.3,3.46,1.15,0.0,0.0,20.3,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0
26,Anderson,BRA,Atacante,Goiás,24.0,1998.0,20.0,18.0,1291.0,14.3,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,1.3,2.0,44.0,39.0,106.0,0.0,0.14,0.14,0.0,0.14,0.05,0.09,0.14,0.05,0.14,360.0,484.0,74.4,5167.0,1207.0,207.0,240.0,86.3,120.0,149.0,80.5,16.0,38.0,42.1,17.0,2.0,11.8,1.19,0.14,0.0,0.0,21.7,0.0,24.0,16.0,11.0,10.0,3.0,15.0,57.7,11.0,0.0,8.0,3.0,27.0,5.0,0.0
30,Apodi,BRA,Atacante,Goiás,36.0,1986.0,13.0,2.0,382.0,4.2,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,0.2,1.1,6.0,4.0,16.0,0.24,0.0,0.24,0.24,0.24,0.2,0.06,0.25,0.2,0.25,35.0,58.0,60.3,449.0,154.0,26.0,31.0,83.9,9.0,22.0,40.9,0.0,1.0,0.0,8.0,5.0,62.5,1.88,1.18,0.13,0.2,18.5,0.0,5.0,4.0,3.0,1.0,1.0,3.0,75.0,1.0,1.0,1.0,2.0,7.0,8.0,0.0
