ID,Jogador,Nação,Pos,Equipe,Idade,Nascimento,Jogos,Inícios,Minutos,90s,Gols,Assist,G+A,Gnormal,PC,PB,CartaoA,CartaoV,xG,xGnormal,xG+A,xGnormal+xG+A,PrgCarregadas,PrgPasses,PrgPassesPrgRecebidos,Gols90,Assis.90,G+A90,G-PB90,G+A-PB90,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,PassesTotaisConcluidos,PassesTotaisTentados,%ConclusãoDePasses,DistTotalPasses,DistTotalProgressivos,PassesConcluidosCurto,PassesTentadosCurto,%PassesConclusaoCurto,PassesConcluidosMedio,PassesTentadosMedio,%PassesConclusaoMedio,PassesConcluidosLongo,PassesTentadosLongo,%PassesConclusaoLongo,TotalChutes,ChutesAGol,%ChutesNoGol,TotalChutes/90,TotalAcertos/90,Gols/Chutes,Gols/ChuteaGol,DistanciaChute,CobrancaFalta,BotesDefensivos,AssumiuPosse,Confrontos_1ter,Confrontos_2ter,Confrontos_3ter,Desarme,%DesarmesCertos,DesarmeErrado,ChutesBloqueados,PassesBloqueados,Cortes,Interceptacoes,Def,Erros
1,Nicolás Acevedo,URU,Meio-Campista,Bahia,23.0,1999.0,31.0,21.0,1970.0,21.9,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.9,0.9,1.2,2.1,29.0,112.0,36.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.1,0.04,0.1,1029.0,1237.0,83.2,17288.0,5431.0,492.0,543.0,90.6,424.0,499.0,85.0,82.0,118.0,69.5,23.0,4.0,17.4,1.05,0.18,0.0,0.0,25.3,0.0,73.0,46.0,24.0,43.0,6.0,40.0,47.1,45.0,1.0,30.0,26.0,99.0,22.0,1.0
2,Luiz Adriano,BRA,Atacante,Internacional,35.0,1987.0,29.0,17.0,1330.0,14.8,3.0,1.0,4.0,3.0,0.0,0.0,1.0,1.0,2.6,2.6,1.3,3.9,3.0,23.0,49.0,0.2,0.07,0.27,0.2,0.27,0.18,0.09,0.27,0.18,0.27,208.0,253.0,82.2,2628.0,429.0,128.0,147.0,87.1,58.0,66.0,87.9,6.0,8.0,75.0,24.0,11.0,45.8,1.62,0.74,0.13,0.27,14.4,0.0,12.0,7.0,0.0,6.0,6.0,2.0,28.6,5.0,2.0,7.0,9.0,21.0,18.0,0.0
3,Adriel,BRA,Goleiro,Grêmio,22.0,2001.0,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,63.0,44.4,1101.0,947.0,3.0,3.0,100.0,10.0,10.0,100.0,15.0,50.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Adryelson,BRA,Defensor,Botafogo (RJ),24.0,1998.0,35.0,35.0,2996.0,33.3,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,1.1,1.1,0.3,1.4,2.0,56.0,3.0,0.03,0.03,0.06,0.03,0.06,0.03,0.01,0.04,0.03,0.04,1303.0,1523.0,85.6,25681.0,9401.0,416.0,468.0,88.9,728.0,819.0,88.9,148.0,211.0,70.1,12.0,5.0,41.7,0.36,0.15,0.08,0.2,9.9,0.0,34.0,20.0,23.0,10.0,1.0,17.0,65.4,9.0,30.0,13.0,61.0,95.0,202.0,2.0
5,Adson,BRA,Atacante,Corinthians,22.0,2000.0,15.0,9.0,857.0,9.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.0,1.4,49.0,53.0,68.0,0.0,0.11,0.11,0.0,0.11,0.04,0.11,0.15,0.04,0.15,315.0,389.0,81.0,4735.0,1211.0,185.0,209.0,88.5,94.0,123.0,76.4,21.0,32.0,65.6,10.0,3.0,30.0,1.05,0.32,0.0,0.0,24.1,0.0,33.0,26.0,22.0,8.0,3.0,12.0,57.1,9.0,2.0,14.0,8.0,41.0,1.0,0.0
6,Adyson,BRA,Atacante,América (MG),17.0,2005.0,8.0,1.0,245.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.4,0.6,17.0,17.0,42.0,0.0,0.0,0.0,0.0,0.0,0.07,0.14,0.21,0.07,0.21,97.0,140.0,69.3,1609.0,650.0,48.0,56.0,85.7,37.0,51.0,72.5,8.0,20.0,40.0,4.0,1.0,25.0,1.47,0.37,0.0,0.0,17.9,0.0,8.0,5.0,3.0,3.0,2.0,3.0,50.0,3.0,0.0,1.0,5.0,13.0,0.0,0.0
7,Washington Aguerre,URU,Goleiro,América (MG),29.0,1993.0,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,41.0,75.6,816.0,564.0,7.0,7.0,100.0,12.0,12.0,100.0,11.0,21.0,52.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
8,Carlos Alberto,BRA,Atacante,Botafogo (RJ),20.0,2002.0,15.0,1.0,296.0,3.3,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.1,1.1,0.2,1.4,10.0,9.0,29.0,0.61,0.0,0.61,0.61,0.61,0.35,0.07,0.42,0.35,0.42,63.0,75.0,84.0,947.0,216.0,33.0,36.0,91.7,24.0,29.0,82.8,4.0,5.0,80.0,7.0,3.0,42.9,2.13,0.91,0.29,0.67,12.5,0.0,3.0,0.0,1.0,1.0,1.0,2.0,40.0,3.0,2.0,3.0,1.0,4.0,4.0,0.0
9,Yuri Alberto,BRA,Atacante,Corinthians,21.0,2001.0,34.0,32.0,2722.0,30.2,8.0,3.0,11.0,8.0,0.0,0.0,6.0,0.0,10.0,10.0,2.7,12.7,41.0,28.0,204.0,0.26,0.1,0.36,0.26,0.36,0.33,0.09,0.42,0.33,0.42,417.0,581.0,71.8,5451.0,801.0,260.0,327.0,79.5,119.0,158.0,75.3,12.0,21.0,57.1,86.0,28.0,32.6,2.84,0.93,0.09,0.29,14.6,0.0,23.0,14.0,6.0,8.0,9.0,9.0,40.9,13.0,2.0,21.0,3.0,26.0,17.0,0.0
10,Ale,BRA,Meio-Campista,América (MG),32.0,1990.0,27.0,14.0,1424.0,15.8,1.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,1.8,1.8,1.4,3.2,29.0,110.0,37.0,0.06,0.0,0.06,0.06,0.06,0.12,0.09,0.2,0.12,0.2,770.0,878.0,87.7,12931.0,4158.0,361.0,405.0,89.1,326.0,356.0,91.6,61.0,70.0,87.1,13.0,1.0,7.7,0.82,0.06,0.08,1.0,14.2,0.0,38.0,16.0,17.0,19.0,2.0,12.0,32.4,25.0,5.0,16.0,28.0,66.0,24.0,0.0
