ID,Jogador,Nação,Pos,Equipe,Idade,Nascimento,Jogos,Inícios,Minutos,90s,Gols,Assist,G+A,Gnormal,PC,PB,CartaoA,CartaoV,xG,xGnormal,xG+A,xGnormal+xG+A,PrgCarregadas,PrgPasses,PrgPassesPrgRecebidos,Gols90,Assis.90,G+A90,G-PB90,G+A-PB90,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,PassesTotaisConcluidos,PassesTotaisTentados,%ConclusãoDePasses,DistTotalPasses,DistTotalProgressivos,PassesConcluidosCurto,PassesTentadosCurto,%PassesConclusaoCurto,PassesConcluidosMedio,PassesTentadosMedio,%PassesConclusaoMedio,PassesConcluidosLongo,PassesTentadosLongo,%PassesConclusaoLongo,TotalChutes,ChutesAGol,%ChutesNoGol,TotalChutes/90,TotalAcertos/90,Gols/Chutes,Gols/ChuteaGol,DistanciaChute,CobrancaFalta,BotesDefensivos,AssumiuPosse,Confrontos_1ter,Confrontos_2ter,Confrontos_3ter,Desarme,%DesarmesCertos,DesarmeErrado,ChutesBloqueados,PassesBloqueados,Cortes,Interceptacoes,Def,Erros
4,Adryelson,BRA,Defensor,Botafogo (RJ),24.0,1998.0,35.0,35.0,2996.0,33.3,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,1.1,1.1,0.3,1.4,2.0,56.0,3.0,0.03,0.03,0.06,0.03,0.06,0.03,0.01,0.04,0.03,0.04,1303.0,1523.0,85.6,25681.0,9401.0,416.0,468.0,88.9,728.0,819.0,88.9,148.0,211.0,70.1,12.0,5.0,41.7,0.36,0.15,0.08,0.2,9.9,0.0,34.0,20.0,23.0,10.0,1.0,17.0,65.4,9.0,30.0,13.0,61.0,95.0,202.0,2.0
14,Alex,BRA,Defensor,Santos,23.0,1999.0,6.0,5.0,455.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.4,0.6,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.11,0.03,0.11,221.0,244.0,90.6,4297.0,1223.0,56.0,62.0,90.3,151.0,157.0,96.2,13.0,21.0,61.9,4.0,2.0,50.0,0.79,0.4,0.0,0.0,11.4,0.0,9.0,7.0,8.0,0.0,1.0,2.0,50.0,2.0,2.0,1.0,7.0,16.0,10.0,0.0
16,Matheus Alexandre,BRA,Defensor,Cuiabá,23.0,1999.0,35.0,33.0,2980.0,33.1,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.8,0.8,1.2,1.9,41.0,109.0,97.0,0.03,0.0,0.03,0.03,0.03,0.02,0.03,0.06,0.02,0.06,1213.0,1543.0,78.6,19647.0,8073.0,585.0,649.0,90.1,530.0,674.0,78.6,77.0,137.0,56.2,8.0,2.0,25.0,0.24,0.06,0.13,0.5,18.9,0.0,86.0,58.0,56.0,25.0,5.0,55.0,53.9,47.0,5.0,32.0,42.0,128.0,74.0,1.0
27,André,BRA,Defensor,Bahia,19.0,2003.0,3.0,1.0,125.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,63.0,79.0,79.7,998.0,257.0,37.0,43.0,86.0,18.0,23.0,78.3,6.0,9.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,100.0,0.0,1.0,3.0,1.0,3.0,3.0,1.0
29,Maurício Antônio,BRA,Defensor,Coritiba,30.0,1992.0,3.0,1.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,77.0,95.0,81.1,1671.0,651.0,24.0,28.0,85.7,35.0,38.0,92.1,16.0,25.0,64.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,30.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,5.0,18.0,0.0
31,Guilherme Arana,BRA,Defensor,Atlético Mineiro,25.0,1997.0,28.0,27.0,2385.0,26.5,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1.1,2.1,56.0,133.0,122.0,0.08,0.0,0.08,0.08,0.08,0.04,0.04,0.08,0.04,0.08,1361.0,1706.0,79.8,21177.0,8117.0,782.0,853.0,91.7,473.0,576.0,82.1,82.0,173.0,47.4,28.0,7.0,25.0,1.06,0.26,0.07,0.29,23.9,0.0,42.0,29.0,25.0,16.0,1.0,15.0,60.0,10.0,10.0,21.0,32.0,74.0,56.0,0.0
36,Robert Arboleda,ECU,Defensor,São Paulo,31.0,1991.0,20.0,19.0,1721.0,19.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9,0.9,0.3,1.2,2.0,42.0,5.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,1105.0,1241.0,89.0,21240.0,8090.0,362.0,384.0,94.3,637.0,677.0,94.1,96.0,155.0,61.9,15.0,4.0,26.7,0.78,0.21,0.0,0.0,14.7,0.0,32.0,21.0,20.0,11.0,1.0,19.0,82.6,4.0,24.0,3.0,13.0,45.0,71.0,2.0
40,Arthur,BRA,Defensor,América (MG),19.0,2003.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,38.0,55.0,69.1,615.0,284.0,20.0,22.0,90.9,17.0,22.0,77.3,1.0,9.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0
47,Danilo Avelar,BRA,Defensor,América (MG),33.0,1989.0,26.0,24.0,1984.0,22.0,3.0,1.0,4.0,2.0,1.0,1.0,5.0,1.0,4.0,3.2,0.7,3.9,11.0,81.0,42.0,0.14,0.05,0.18,0.09,0.14,0.18,0.03,0.21,0.14,0.18,613.0,890.0,68.9,11632.0,6518.0,228.0,272.0,83.8,308.0,408.0,75.5,67.0,166.0,40.4,34.0,9.0,26.5,1.54,0.41,0.06,0.22,13.5,0.0,35.0,22.0,15.0,18.0,2.0,17.0,54.8,14.0,10.0,10.0,35.0,70.0,72.0,0.0
51,Fabián Balbuena,PAR,Defensor,Corinthians,31.0,1991.0,1.0,1.0,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,48.0,60.0,80.0,908.0,356.0,16.0,17.0,94.1,27.0,31.0,87.1,4.0,11.0,36.4,1.0,0.0,0.0,1.01,0.0,0.0,0.0,11.2,0.0,1.0,0.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,3.0,4.0,5.0,1.0
