ID,Jogador,Nação,Pos,Equipe,Idade,Nascimento,Jogos,Inícios,Minutos,90s,Gols,Assist,G+A,Gnormal,PC,PB,CartaoA,CartaoV,xG,xGnormal,xG+A,xGnormal+xG+A,PrgCarregadas,PrgPasses,PrgPassesPrgRecebidos,Gols90,Assis.90,G+A90,G-PB90,G+A-PB90,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,PassesTotaisConcluidos,PassesTotaisTentados,%ConclusãoDePasses,DistTotalPasses,DistTotalProgressivos,PassesConcluidosCurto,PassesTentadosCurto,%PassesConclusaoCurto,PassesConcluidosMedio,PassesTentadosMedio,%PassesConclusaoMedio,PassesConcluidosLongo,PassesTentadosLongo,%PassesConclusaoLongo,TotalChutes,ChutesAGol,%ChutesNoGol,TotalChutes/90,TotalAcertos/90,Gols/Chutes,Gols/ChuteaGol,DistanciaChute,CobrancaFalta,BotesDefensivos,AssumiuPosse,Confrontos_1ter,Confrontos_2ter,Confrontos_3ter,Desarme,%DesarmesCertos,DesarmeErrado,ChutesBloqueados,PassesBloqueados,Cortes,Interceptacoes,Def,Erros
1,Nicolás Acevedo,URU,Meio-Campista,Bahia,23.0,1999.0,31.0,21.0,1970.0,21.9,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.9,0.9,1.2,2.1,29.0,112.0,36.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.1,0.04,0.1,1029.0,1237.0,83.2,17288.0,5431.0,492.0,543.0,90.6,424.0,499.0,85.0,82.0,118.0,69.5,23.0,4.0,17.4,1.05,0.18,0.0,0.0,25.3,0.0,73.0,46.0,24.0,43.0,6.0,40.0,47.1,45.0,1.0,30.0,26.0,99.0,22.0,1.0
10,Ale,BRA,Meio-Campista,América (MG),32.0,1990.0,27.0,14.0,1424.0,15.8,1.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,1.8,1.8,1.4,3.2,29.0,110.0,37.0,0.06,0.0,0.06,0.06,0.06,0.12,0.09,0.2,0.12,0.2,770.0,878.0,87.7,12931.0,4158.0,361.0,405.0,89.1,326.0,356.0,91.6,61.0,70.0,87.1,13.0,1.0,7.7,0.82,0.06,0.08,1.0,14.2,0.0,38.0,16.0,17.0,19.0,2.0,12.0,32.4,25.0,5.0,16.0,28.0,66.0,24.0,0.0
15,Caio Alexandre,BRA,Meio-Campista,Fortaleza,23.0,1999.0,34.0,32.0,2624.0,29.2,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,2.0,2.0,2.8,4.8,91.0,208.0,37.0,0.07,0.07,0.14,0.07,0.14,0.07,0.1,0.17,0.07,0.17,1574.0,1804.0,87.3,28901.0,7697.0,634.0,687.0,92.3,743.0,803.0,92.5,165.0,237.0,69.6,19.0,5.0,26.3,0.65,0.17,0.11,0.4,21.9,0.0,76.0,42.0,31.0,39.0,6.0,43.0,42.2,59.0,7.0,44.0,24.0,100.0,22.0,0.0
17,Alexsander,BRA,Meio-Campista,Fluminense,19.0,2003.0,19.0,13.0,1194.0,13.3,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,1.4,1.7,38.0,53.0,53.0,0.0,0.08,0.08,0.0,0.08,0.02,0.11,0.13,0.02,0.13,613.0,734.0,83.5,8456.0,2185.0,378.0,418.0,90.4,187.0,219.0,85.4,19.0,33.0,57.6,9.0,2.0,22.2,0.68,0.15,0.0,0.0,21.0,0.0,34.0,19.0,15.0,15.0,4.0,16.0,47.1,18.0,3.0,17.0,10.0,44.0,12.0,0.0
18,Alison,BRA,Meio-Campista,Santos,29.0,1993.0,5.0,2.0,136.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,63.0,81.0,670.0,180.0,31.0,36.0,86.1,12.0,15.0,80.0,3.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,1.0,25.0,3.0,2.0,3.0,3.0,6.0,5.0,0.0
19,Alisson,BRA,Meio-Campista,Atlético Mineiro,17.0,2005.0,5.0,0.0,49.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,3.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.03,0.33,0.35,0.03,0.35,21.0,31.0,67.7,388.0,105.0,9.0,13.0,69.2,8.0,10.0,80.0,3.0,4.0,75.0,1.0,0.0,0.0,1.84,0.0,0.0,0.0,33.9,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
21,Allan,BRA,Meio-Campista,Flamengo,25.0,1997.0,9.0,4.0,482.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,10.0,36.0,6.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.05,0.02,0.05,367.0,425.0,86.4,6119.0,1699.0,179.0,197.0,90.9,147.0,167.0,88.0,31.0,44.0,70.5,6.0,2.0,33.3,1.12,0.37,0.0,0.0,29.2,0.0,10.0,5.0,4.0,5.0,1.0,3.0,18.8,13.0,1.0,4.0,9.0,19.0,4.0,0.0
24,Rodrigo Alves,BRA,Meio-Campista,Vasco da Gama,20.0,2002.0,8.0,4.0,352.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,83.0,107.0,77.6,1610.0,411.0,27.0,38.0,71.1,47.0,53.0,88.7,8.0,11.0,72.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,7.0,4.0,0.0,6.0,42.9,8.0,0.0,1.0,3.0,14.0,5.0,1.0
28,André,BRA,Meio-Campista,Fluminense,21.0,2001.0,31.0,29.0,2649.0,29.4,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.4,0.4,0.6,0.9,58.0,184.0,14.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,2355.0,2491.0,94.5,39502.0,11187.0,1150.0,1192.0,96.5,997.0,1026.0,97.2,166.0,206.0,80.6,12.0,3.0,25.0,0.41,0.1,0.0,0.0,28.5,0.0,57.0,37.0,28.0,26.0,3.0,27.0,54.0,23.0,14.0,13.0,31.0,88.0,36.0,2.0
32,Charles Aránguiz,CHI,Meio-Campista,Internacional,33.0,1989.0,22.0,16.0,1267.0,14.1,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.3,2.2,6.0,89.0,28.0,0.0,0.07,0.07,0.0,0.07,0.07,0.09,0.16,0.07,0.16,823.0,953.0,86.4,12697.0,3495.0,440.0,497.0,88.5,321.0,353.0,90.9,37.0,49.0,75.5,15.0,1.0,6.7,1.07,0.07,0.0,0.0,21.4,1.0,33.0,16.0,13.0,14.0,6.0,18.0,46.2,21.0,2.0,10.0,10.0,43.0,10.0,0.0
